"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Arachidonic acid metabolism","31","31","3","3.3138","0.6099","0.82711","0.12141","3175","0.3175","P35","EC000254;EC000197;EC000247"
"Beta-Alanine metabolism","9","9","1","0.96207","0.61134","1","0.12188","725","0.0725","P36","EC000176"
"Vitamin A (retinol) metabolism","21","21","2","2.2448","0.63406","0.88865","0.12958","5168","0.5168","P37","EC000626;EC000678"
"Purine metabolism","54","54","5","5.7724","0.63812","0.79766","0.13103","4848","0.4848","P38","EC000214;EC000326;EC00032;EC000132;EC000100"
"Urea cycle/amino group metabolism","33","33","3","3.5276","0.65361","0.85317","0.13675","8563","0.8563","P39","EC000176;EC000769;EC000140"
"Hexose phosphorylation","11","11","1","1.1759","0.68537","1","0.14956","3893","0.3893","P40","EC00032"
"Squalene and cholesterol biosynthesis","11","11","1","1.1759","0.68537","1","0.14956","4181","0.4181","P41","EC00050"
"Ascorbate (Vitamin C) and Aldarate Metabolism","11","11","1","1.1759","0.68537","1","0.14956","9607","0.9607","P42","EC000143"
"Fructose and mannose metabolism","12","12","1","1.2828","0.71697","1","0.16401","7467","0.7467","P43","EC000121"
"Glycine, serine, alanine and threonine metabolism","37","37","3","3.9552","0.7304","0.89494","0.17076","3091","0.3091","P44","EC000788;EC000309;EC000179"
"N-Glycan biosynthesis","14","14","1","1.4966","0.77105","1","0.19382","5564","0.5564","P45","EC00050"
"Phosphatidylinositol phosphate metabolism","14","14","1","1.4966","0.77105","1","0.19382","6557","0.6557","P46","EC000121"
"Leukotriene metabolism","41","41","3","4.3828","0.79338","0.92554","0.20854","3374","0.3374","P47","EC000795;EC000254;EC000247"
"Fatty acid activation","29","29","2","3.1","0.80218","0.95242","0.21482","5698","0.5698","P48","EC000942;EC000385"
"Tryptophan metabolism","54","54","4","5.7724","0.80484","0.91647","0.21678","9368","0.9368","P49","EC000501;EC00042;EC00095;EC000495"
"De novo fatty acid biosynthesis","19","19","1","2.031","0.86554","1","0.27097","7052","0.7052","P50","EC000385"
"Vitamin E metabolism","21","21","1","2.2448","0.89142","1","0.3019","3913","0.3913","P51","EC000711"
